 u53d6-07-itaiji-001\@2                                                    | u53d6   | 99:0:0:0:0:200:200:u8033-05$99:0:0:85:34:206:185:u53c8-07-var-001
 u53d6-07-itaiji-001\@3                                                    | u3013   | 99:0:0:0:0:200:200:u53d6-var-005
 u571f-04-var-001\@1                                                       | u571f   | 1:0:0:33:136:167:136$1:0:32:100:102:100:179$1:0:0:14:179:186:179
 u571f-04-var-001\@2                                                       | u571f   | 99:0:0:0:0:200:200:u571f-24
 u66b4-03-itaiji-011\@1                                                    | u66b4   | 99:0:0:-2:2:203:159:u65e5-03@4$1:0:0:28:93:171:93$1:0:32:77:73:77:114$1:0:32:123:72:123:114$1:0:0:20:115:179:115$2:32:7:68:115:52:142:17:156$2:7:0:132:115:150:136:179:146
 u66b4-03-itaiji-011\@2                                                    | u66b4   | 99:0:0:-4:3:203:155:u65e5-03@4:0:0:0$1:0:0:24:92:177:92$1:0:32:74:71:74:114$1:0:32:126:71:126:114$1:0:0:16:114:184:114$2:32:7:73:114:57:141:13:159$2:7:0:127:114:150:142:179:152
 u66b4-03-itaiji-011\@3                                                    | u3013   | 99:0:0:0:0:200:200:u2ff1-u65e5-u5171-var-001@2
 u66b4-03-itaiji-011\@4                                                    | u3013   | 99:0:0:0:0:200:200:u2ff1-u65e5-u5171-var-001@3
 u66b4-03-itaiji-011\@5                                                    | u3013   | 99:0:0:0:0:200:200:u2ff1-u65e5-u5171-var-001@4
 u66b4-03-itaiji-011\@6                                                    | u3013   | 99:0:0:0:0:200:200:u2ff1-u65e5-u5171-var-001@6
 u66b4-03-itaiji-011\@7                                                    | u3013   | 99:0:0:0:0:200:200:u2ff1-u65e5-u5171-03
 u672a-07-var-001\@1                                                       | u672a   | 1:0:0:30:48:169:48$1:0:0:19:91:183:91$99:0:0:-1:-5:199:200:u4e85$99:0:0:-2:97:198:187:u516b-11-var-001
 u672a-07-var-001\@2                                                       | u3013   | 99:0:0:0:0:200:200:u672a-var-003@2
 u672a-07-var-001\@3                                                       | u3013   | 99:0:0:0:0:200:200:u672a-var-003
 u4e86-v07\@1                                                              | u3013   | 1:0:2:34:34:148:34$2:22:7:148:34:127:56:104:70$2:0:4:101:65:130:129:103:182
 u4e86-v07\@2                                                              | u4e86   | 1:0:2:34:34:148:34$2:22:7:148:34:127:56:104:70$2:0:4:101:65:130:129:103:182
 u4e86-v07\@3                                                              | u4e86   | 99:0:0:0:0:200:200:u4e86-v
 u2ff1-u65e5-u5171-var-001\@1                                              | u66b4   | 99:0:0:0:0:200:200:u66b4-03-itaiji-011@3
 u2ff1-u65e5-u5171-var-001\@2                                              | u66b4   | 99:0:0:-4:3:203:155:u65e5-03@4:0:0:0$1:0:0:24:92:177:92$1:0:32:74:71:74:114$1:0:32:126:71:126:114$1:0:0:16:114:184:114$2:32:7:73:114:57:141:13:159$2:7:0:127:114:150:142:179:152
 u2ff1-u65e5-u5171-var-001\@3                                              | u66b4   | 99:0:0:-4:3:203:155:u65e5-03@5:0:0:0$1:0:0:24:92:177:92$1:0:32:74:71:74:114$1:0:32:126:71:126:114$1:0:0:16:114:184:114$2:32:7:73:114:57:141:13:159$2:7:0:127:114:150:142:179:152
 u2ff1-u65e5-u5171-var-001\@4                                              | u66b4   | 99:0:0:-5:5:203:154:u65e5-03:0:0:0$1:0:0:24:92:177:92$1:0:32:74:71:74:114$1:0:32:126:71:126:114$1:0:0:16:114:184:114$2:32:7:73:114:57:141:13:159$2:7:0:127:114:150:142:179:152
 u2ff1-u65e5-u5171-var-001\@5                                              | u66b4   | 99:0:0:-4:5:204:154:u65e5-03:0:0:0$1:0:0:24:92:177:92$1:0:32:74:71:74:114$1:0:32:126:71:126:114$1:0:0:16:114:184:114$2:32:7:73:114:57:141:13:159$2:7:0:127:114:150:142:179:152
 u2ff1-u65e5-u5171-var-001\@6                                              | u66b4   | 99:0:0:0:0:200:200:u2ff1-u65e5-u5171-03
 u7562-itaiji-005\@3                                                       | u3013   | 99:0:0:0:0:200:200:u7562-var-001
